iter	RMSE
0	446632.0869
1	434781.4597
2	423378.4289
3	413354.7311
4	403562.8901
5	394017.4745
6	386091.4444
7	378436.4922
8	370805.952
9	364232.9594
10	357902.8463
11	352164.4246
12	346549.7763
13	340954.8299
14	335748.4947
15	331448.4925
16	327737.1538
17	323075.2167
18	319371.0603
19	315371.7464
20	311946.5307
21	309017.6229
22	305451.402
23	302635.8361
24	300047.0355
25	297534.7089
26	295212.0745
27	292757.4017
28	290115.5618
29	288206.1282
30	285823.5841
31	284101.5446
32	281807.8499
33	279199.872
34	277805.3448
35	276344.6264
36	274558.1061
37	272769.2795
38	271497.5922
39	269872.731
40	268034.3912
41	267153.5949
42	265907.3997
43	264656.5386
44	263537.4621
45	262618.9436
46	261738.0411
47	260816.0503
48	259805.6056
49	259099.2139
50	258864.0503
51	258008.3632
52	256951.0291
53	256325.0726
54	255452.4956
55	254459.2171
56	253533.6203
57	253113.154
58	252526.6918
59	251966.5776
60	251414.1024
61	250453.8364
62	249808.5874
63	249407.3263
64	248378.6212
65	247858.2578
66	247484.5198
67	246862.5764
68	246185.62
69	245671.0595
70	245125.7565
71	244657.2589
72	244231.2268
73	243454.4908
74	242991.2846
75	242364.7828
76	242056.6253
77	241395.7235
78	240837.3755
79	240246.4299
80	239997.2604
81	239690.2368
82	238980.3731
83	238399.2532
84	237987.9063
85	237737.9487
86	236902.3398
87	236673.6104
88	236313.8962
89	235979.5024
90	235832.5863
91	235462.3087
92	235109.3339
93	234770.3577
94	234116.6123
95	233705.5996
96	233408.6918
97	233176.6771
98	232754.4117
99	232186.6171
100	231718.7056
101	231503.2483
102	231049.5837
103	230828.9289
104	230631.8505
105	230488.8419
106	230279.3653
107	230065.4872
108	229553.9195
109	229429.6685
110	229048.3448
111	228924.6639
112	228738.4291
113	228450.5921
114	227907.2622
115	227628.6141
116	227545.3057
117	227349.2702
118	227092.7688
119	226692.2356
120	226538.9373
121	226301.7564
122	226046.9078
123	225606.8454
124	225172.0286
125	225061.1983
126	224980.0297
127	224742.4841
128	224658.4011
129	224261.0516
130	224099.5205
131	224002.0307
132	223718.5925
133	223638.8064
134	223556.2067
135	223286.5558
136	223078.6242
137	222678.9387
138	222365.4314
139	222017.4846
140	221807.1331
141	221471.1576
142	221142.5364
143	220772.4733
144	220660.2821
145	220565.9935
146	220379.4275
147	220031.0385
148	219808.541
149	219660.124
150	219430.2578
151	219211.8387
